T1,T2,T4,M01,VA,D2A,Ds,YseB
85.0,82.42,81.23,91.89,367.0,369.0,1488.0,0.21
85.0,82.29,80.64,88.92,510.0,334.0,1495.0,0.2
87.0,82.33,81.43,88.7,431.0,351.0,1498.0,0.13
88.0,82.35,81.39,89.58,500.0,357.0,1482.0,0.15
88.0,82.5,81.55,88.86,463.0,337.0,1492.0,0.14
88.0,82.55,81.14,88.83,478.0,363.0,1495.0,0.12
88.0,82.72,81.5,91.14,476.0,331.0,1483.0,0.13
86.0,82.66,81.55,92.06,455.0,337.0,1492.0,0.16
87.0,82.61,81.41,90.8,433.0,342.0,1493.0,0.13
87.0,82.52,81.06,91.29,445.0,345.0,1495.0,0.14
87.0,83.08,80.6,87.81,476.0,325.0,1498.0,0.18
87.0,83.04,81.34,90.53,493.0,362.0,1496.0,0.17
87.0,82.33,80.87,86.85,492.0,380.0,1490.0,0.19
90.0,82.29,80.42,86.57,499.0,356.0,1479.0,0.16
86.0,82.57,81.14,85.32,505.0,370.0,1485.0,0.21
92.0,82.66,81.09,86.54,487.0,362.0,1500.0,0.16
86.0,82.77,81.18,87.68,438.0,378.0,1495.0,0.14
89.0,82.27,80.42,89.65,449.0,369.0,1496.0,0.16
88.0,82.12,80.19,89.57,428.0,395.0,1502.0,0.18
87.0,82.04,80.39,87.48,508.0,333.0,1491.0,0.16
85.0,81.89,79.88,84.86,635.0,281.0,1483.0,0.16
92.0,82.79,80.98,88.85,429.0,346.0,1493.0,0.17
89.0,82.5,80.83,87.7,451.0,382.0,1498.0,0.13
87.0,81.91,80.28,86.27,494.0,347.0,1486.0,0.16
90.0,82.58,80.69,85.77,484.0,361.0,1496.0,0.13
87.0,82.43,80.7,89.87,544.0,319.0,1489.0,0.14
86.0,82.55,81.04,86.81,531.0,372.0,1500.0,0.16
89.0,82.62,80.63,91.4,447.0,370.0,1499.0,0.12
89.0,82.45,80.58,87.93,490.0,355.0,1489.0,0.23
88.0,82.49,80.82,86.07,435.0,351.0,1499.0,0.17
88.0,82.7,80.84,87.14,555.0,350.0,1503.0,0.15
89.0,82.9,80.62,86.53,486.0,388.0,1489.0,0.14
88.0,83.01,81.3,89.93,396.0,375.0,1500.0,0.12
85.0,82.73,81.24,86.24,480.0,377.0,1495.0,0.15
87.0,82.68,81.17,90.09,377.0,395.0,1492.0,0.18
87.0,82.8,81.24,88.64,453.0,408.0,1530.0,0.22
89.0,82.7,81.02,89.31,466.0,361.0,1517.0,0.13
92.0,82.77,80.75,86.37,527.0,357.0,1517.0,0.1
87.0,83.14,81.56,88.88,424.0,350.0,1521.0,0.14
86.0,82.66,81.09,88.12,397.0,405.0,1508.0,0.12
87.0,82.84,81.06,88.28,473.0,392.0,1503.0,0.12
89.0,83.09,81.4,90.71,425.0,365.0,1524.0,0.15
87.0,82.44,80.92,89.56,392.0,431.0,1507.0,0.15
89.0,82.88,81.08,89.33,483.0,391.0,1502.0,0.15
87.0,82.6,80.87,87.82,439.0,386.0,1507.0,0.15
87.0,82.69,80.67,86.77,504.0,359.0,1515.0,0.14
86.0,82.63,80.7,88.47,435.0,367.0,1504.0,0.18
