DpB,T1,T3,T4,P,M01,Ds,YuntB
276.0,87.0,82.41,81.17,311.64,90.09,1492.0,0.19
153.0,87.0,82.07,81.24,316.0,88.64,1530.0,0.18
274.0,89.0,82.47,81.02,314.41,89.31,1517.0,0.17
239.0,92.0,82.32,80.75,317.24,86.37,1517.0,0.18
275.0,87.0,82.9,81.56,313.8,88.88,1521.0,0.17
303.0,86.0,82.42,81.09,312.99,88.12,1508.0,0.17
280.0,87.0,82.57,81.06,313.44,88.28,1503.0,0.18
293.0,89.0,82.85,81.4,313.43,90.71,1524.0,0.17
281.0,87.0,82.16,80.92,314.46,89.56,1507.0,0.18
279.0,89.0,82.64,81.08,314.74,89.33,1502.0,0.18
274.0,87.0,82.3,80.87,319.07,87.82,1507.0,0.17
283.0,87.0,82.44,80.67,319.77,86.77,1515.0,0.17
281.0,86.0,82.47,80.7,317.68,88.47,1504.0,0.18
