D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
225.0,1642.0,250.0,82.0,82.31,81.95,319.44,91.48,34.78,32.89,0.58,364.0
204.0,1652.0,261.0,81.0,82.44,81.82,321.7,90.8,33.82,33.87,0.59,356.0
188.0,1676.0,223.0,80.0,81.97,81.31,325.41,88.38,34.58,29.82,0.55,324.5
248.0,1664.0,246.0,84.0,82.36,81.3,312.29,89.92,34.27,30.26,0.56,378.0
258.0,1645.0,252.0,85.0,82.38,81.15,309.99,91.92,36.44,29.34,0.58,407.5
207.0,1648.0,237.0,86.0,81.74,81.04,326.5,87.25,33.72,32.22,0.58,349.0
186.0,1656.0,219.0,88.0,82.26,81.61,329.12,87.91,33.85,30.75,0.55,328.0
191.0,1660.0,231.0,87.0,82.3,81.72,329.94,89.3,35.03,28.11,0.56,330.5
184.0,1661.0,224.0,86.0,82.38,81.77,326.66,90.37,34.43,33.38,0.6,333.0
205.0,1625.0,225.0,87.0,82.39,81.9,323.28,90.75,33.64,30.44,0.57,355.0
208.0,1618.0,231.0,87.0,81.57,81.06,318.24,89.56,32.46,31.97,0.59,337.0
189.0,1676.0,234.0,89.0,82.35,82.01,323.78,88.76,35.79,24.75,0.57,339.0
198.0,1644.0,227.0,90.0,82.24,81.76,321.05,88.76,35.67,30.01,0.59,345.5
220.0,1620.0,252.0,86.0,81.83,81.65,323.13,89.52,33.89,24.68,0.59,376.5
259.0,1605.0,267.0,89.0,82.37,81.78,319.55,93.31,37.47,24.74,0.6,395.0
212.0,1630.0,226.0,83.0,82.55,81.93,317.7,89.99,36.68,27.45,0.59,343.5
204.0,1606.0,218.0,84.0,82.48,81.08,324.72,90.18,32.17,33.81,0.56,336.5
210.0,1634.0,244.0,83.0,81.92,81.66,320.87,90.16,36.58,28.75,0.57,334.5
230.0,1611.0,241.0,83.0,82.35,81.56,321.56,88.87,35.15,29.95,0.6,353.0
213.0,1618.0,216.0,84.0,82.15,81.54,323.57,89.22,35.45,26.78,0.56,325.0
206.0,1616.0,216.0,82.0,82.14,81.68,325.58,89.5,35.37,29.4,0.57,324.0
199.0,1638.0,215.0,83.0,82.23,81.5,325.73,89.2,35.55,30.96,0.58,320.5
204.0,1636.0,224.0,84.0,82.34,81.79,322.52,89.27,35.98,26.89,0.57,329.5
236.0,1618.0,224.0,85.0,82.59,82.16,320.72,90.41,36.98,30.57,0.54,340.5
263.0,1610.0,263.0,86.0,82.63,81.46,312.52,91.6,36.72,32.16,0.58,387.5
244.0,1608.0,241.0,84.0,82.5,81.52,315.28,91.63,36.1,32.81,0.59,363.0
