DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1663.0,235.0,254.0,82.0,81.43,0.627,324.56,90.03,365.0,33.3,0.2
1666.0,237.0,261.0,80.0,81.8,0.585,325.49,89.64,403.0,31.97,0.2
1655.0,209.0,259.0,83.0,81.82,0.77,323.51,89.5,494.0,32.18,0.2
1642.0,226.0,250.0,82.0,81.95,0.367,319.44,91.48,405.0,34.78,0.21
1652.0,218.0,261.0,81.0,81.82,0.616,321.7,90.8,450.0,33.82,0.19
1676.0,221.0,223.0,80.0,81.31,0.657,325.41,88.38,479.0,34.58,0.21
1664.0,222.0,246.0,84.0,81.3,1.068,312.29,89.92,403.0,34.27,0.2
1645.0,242.0,252.0,85.0,81.15,1.232,309.99,91.92,309.0,36.44,0.2
1648.0,225.0,237.0,86.0,81.04,0.707,326.5,87.25,451.0,33.72,0.22
1656.0,198.0,219.0,88.0,81.61,0.655,329.12,87.91,439.0,33.85,0.21
1660.0,222.0,231.0,87.0,81.72,0.581,329.94,89.3,442.0,35.03,0.2
1661.0,225.0,224.0,86.0,81.77,0.602,326.66,90.37,455.0,34.43,0.21
1625.0,228.0,225.0,87.0,81.9,0.49,323.28,90.75,407.0,33.64,0.21
1618.0,209.0,231.0,87.0,81.06,0.511,318.24,89.56,431.0,32.46,0.2
1676.0,219.0,234.0,89.0,82.01,0.341,323.78,88.76,438.0,35.79,0.21
1644.0,221.0,227.0,90.0,81.76,0.483,321.05,88.76,460.0,35.67,0.21
1620.0,224.0,252.0,86.0,81.65,0.586,323.13,89.52,471.0,33.89,0.2
1605.0,243.0,267.0,89.0,81.78,0.591,319.55,93.31,372.0,37.47,0.2
1630.0,211.0,226.0,83.0,81.93,0.622,317.7,89.99,428.0,36.68,0.21
1606.0,221.0,218.0,84.0,81.08,1.4,324.72,90.18,541.0,32.17,0.21
1634.0,216.0,244.0,83.0,81.66,0.303,320.87,90.16,379.0,36.58,0.2
1611.0,223.0,241.0,83.0,81.56,0.783,321.56,88.87,486.0,35.15,0.2
1618.0,203.0,216.0,84.0,81.54,0.609,323.57,89.22,497.0,35.45,0.2
1616.0,202.0,216.0,82.0,81.68,0.456,325.58,89.5,473.0,35.37,0.2
1638.0,199.0,215.0,83.0,81.5,0.727,325.73,89.2,515.0,35.55,0.21
1636.0,201.0,224.0,84.0,81.79,0.548,322.52,89.27,495.0,35.98,0.2
