D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
248.0,1664.0,246.0,84.0,82.36,81.3,312.29,89.92,64.67,34.27,0.19
258.0,1645.0,252.0,85.0,82.38,81.15,309.99,91.92,79.57,36.44,0.19
207.0,1648.0,237.0,86.0,81.74,81.04,326.5,87.25,56.94,33.72,0.2
186.0,1656.0,219.0,88.0,82.26,81.61,329.12,87.91,50.49,33.85,0.22
191.0,1660.0,231.0,87.0,82.3,81.72,329.94,89.3,72.93,35.03,0.19
184.0,1661.0,224.0,86.0,82.38,81.77,326.66,90.37,73.55,34.43,0.2
205.0,1625.0,225.0,87.0,82.39,81.9,323.28,90.75,78.13,33.64,0.2
208.0,1618.0,231.0,87.0,81.57,81.06,318.24,89.56,65.0,32.46,0.21
189.0,1676.0,234.0,89.0,82.35,82.01,323.78,88.76,78.6,35.79,0.2
198.0,1644.0,227.0,90.0,82.24,81.76,321.05,88.76,70.02,35.67,0.21
220.0,1620.0,252.0,86.0,81.83,81.65,323.13,89.52,64.09,33.89,0.21
259.0,1605.0,267.0,89.0,82.37,81.78,319.55,93.31,73.73,37.47,0.21
212.0,1630.0,226.0,83.0,82.55,81.93,317.7,89.99,86.62,36.68,0.22
204.0,1606.0,218.0,84.0,82.48,81.08,324.72,90.18,99.95,32.17,0.2
210.0,1634.0,244.0,83.0,81.92,81.66,320.87,90.16,74.77,36.58,0.19
230.0,1611.0,241.0,83.0,82.35,81.56,321.56,88.87,74.68,35.15,0.19
213.0,1618.0,216.0,84.0,82.15,81.54,323.57,89.22,54.56,35.45,0.19
206.0,1616.0,216.0,82.0,82.14,81.68,325.58,89.5,50.45,35.37,0.2
199.0,1638.0,215.0,83.0,82.23,81.5,325.73,89.2,51.91,35.55,0.21
204.0,1636.0,224.0,84.0,82.34,81.79,322.52,89.27,54.06,35.98,0.19
236.0,1618.0,224.0,85.0,82.59,82.16,320.72,90.41,56.97,36.98,0.21
263.0,1610.0,263.0,86.0,82.63,81.46,312.52,91.6,76.72,36.72,0.2
244.0,1608.0,241.0,84.0,82.5,81.52,315.28,91.63,70.77,36.1,0.2
229.0,1627.0,231.0,82.0,82.22,81.48,316.95,89.37,60.77,37.02,0.22
213.0,1630.0,239.0,85.0,82.16,81.58,318.31,90.52,57.34,36.63,0.21
