DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
261.0,80.0,82.61,81.8,89.64,68.13,403.0,1470.0,0.17
259.0,83.0,82.79,81.82,89.5,74.58,494.0,1470.0,0.13
250.0,82.0,82.52,81.95,91.48,59.09,405.0,1497.0,0.14
261.0,81.0,82.66,81.82,90.8,54.05,450.0,1488.0,0.17
223.0,80.0,82.18,81.31,88.38,42.71,479.0,1480.0,0.17
246.0,84.0,82.61,81.3,89.92,64.67,403.0,1478.0,0.15
252.0,85.0,82.56,81.15,91.92,79.57,309.0,1508.0,0.14
237.0,86.0,82.05,81.04,87.25,56.94,451.0,1478.0,0.19
219.0,88.0,82.46,81.61,87.91,50.49,439.0,1476.0,0.1
231.0,87.0,82.48,81.72,89.3,72.93,442.0,1488.0,0.1
224.0,86.0,82.57,81.77,90.37,73.55,455.0,1487.0,0.13
225.0,87.0,82.56,81.9,90.75,78.13,407.0,1485.0,0.17
231.0,87.0,81.83,81.06,89.56,65.0,431.0,1476.0,0.16
234.0,89.0,82.56,82.01,88.76,78.6,438.0,1504.0,0.12
227.0,90.0,82.45,81.76,88.76,70.02,460.0,1502.0,0.22
252.0,86.0,82.6,81.65,89.52,64.09,471.0,1472.0,0.12
267.0,89.0,82.59,81.78,93.31,73.73,372.0,1505.0,0.11
226.0,83.0,82.79,81.93,89.99,86.62,428.0,1518.0,0.13
218.0,84.0,82.77,81.08,90.18,99.95,541.0,1476.0,0.16
244.0,83.0,82.3,81.66,90.16,74.77,379.0,1511.0,0.14
241.0,83.0,82.67,81.56,88.87,74.68,486.0,1493.0,0.17
216.0,84.0,82.52,81.54,89.22,54.56,497.0,1497.0,0.16
216.0,82.0,82.44,81.68,89.5,50.45,473.0,1491.0,0.11
215.0,83.0,82.6,81.5,89.2,51.91,515.0,1499.0,0.17
224.0,84.0,82.66,81.79,89.27,54.06,495.0,1507.0,0.18
224.0,85.0,82.89,82.16,90.41,56.97,412.0,1519.0,0.14
263.0,86.0,82.91,81.46,91.6,76.72,449.0,1513.0,0.18
241.0,84.0,82.79,81.52,91.63,70.77,413.0,1509.0,0.17
231.0,82.0,82.56,81.48,89.37,60.77,453.0,1518.0,0.18
239.0,85.0,82.47,81.58,90.52,57.34,433.0,1511.0,0.16
231.0,83.0,82.64,81.87,89.64,61.5,412.0,1504.0,0.2
238.0,86.0,83.02,81.95,89.47,60.15,487.0,1494.0,0.17
196.0,82.0,81.97,81.11,90.04,47.42,527.0,1496.0,0.16
195.0,83.0,82.18,81.46,89.0,46.07,497.0,1495.0,0.16
210.0,80.0,81.98,81.12,85.31,46.0,473.0,1486.0,0.16
198.0,80.0,81.55,80.77,85.58,48.97,443.0,1506.0,0.14
201.0,84.0,81.94,81.05,86.93,49.75,445.0,1481.0,0.14
199.0,84.0,82.38,81.85,89.59,52.76,447.0,1491.0,0.15
235.0,82.0,81.8,81.18,89.27,62.6,366.0,1515.0,0.13
220.0,82.0,81.9,80.83,87.57,54.24,497.0,1492.0,0.14
214.0,82.0,82.05,81.17,87.59,64.05,470.0,1492.0,0.13
220.0,83.0,82.14,81.17,86.93,59.26,480.0,1478.0,0.16
228.0,82.0,82.01,80.83,86.46,53.21,458.0,1484.0,0.15
219.0,83.0,82.04,80.92,86.44,60.18,444.0,1495.0,0.15
216.0,83.0,82.24,81.06,86.53,61.37,503.0,1492.0,0.19
216.0,86.0,82.66,81.6,88.46,81.12,483.0,1534.0,0.15
233.0,86.0,82.1,81.46,88.95,76.12,432.0,1522.0,0.12
226.0,86.0,82.62,81.76,90.0,77.4,474.0,1519.0,0.19
254.0,89.0,82.37,81.67,88.97,79.76,395.0,1523.0,0.13
234.0,92.0,82.13,80.71,85.57,75.77,436.0,1471.0,0.16
220.0,93.0,82.59,81.67,89.02,78.9,335.0,1496.0,0.17
210.0,90.0,82.27,81.27,89.61,73.05,445.0,1515.0,0.15
267.0,88.0,82.14,80.54,89.21,70.49,390.0,1508.0,0.16
230.0,85.0,81.74,80.84,87.5,69.75,495.0,1497.0,0.17
235.0,86.0,82.06,81.06,89.18,74.89,470.0,1491.0,0.15
264.0,87.0,82.49,81.44,90.04,81.2,379.0,1500.0,0.12
244.0,82.0,82.63,81.03,86.49,72.71,496.0,1495.0,0.1
200.0,81.0,82.75,81.33,87.13,63.05,501.0,1515.0,0.11
243.0,81.0,82.6,80.99,87.36,69.26,465.0,1504.0,0.12
264.0,81.0,82.51,80.68,86.3,83.23,520.0,1491.0,0.13
240.0,88.0,82.39,80.98,88.92,90.71,411.0,1494.0,0.15
216.0,83.0,81.92,80.88,88.72,53.6,519.0,1498.0,0.08
241.0,82.0,81.98,80.72,88.62,51.45,452.0,1502.0,0.11
237.0,83.0,82.35,81.13,88.75,52.8,492.0,1489.0,0.13
240.0,86.0,82.5,81.13,89.79,65.2,406.0,1490.0,0.14
244.0,86.0,82.31,81.24,88.25,59.53,445.0,1493.0,0.15
247.0,85.0,82.5,81.42,89.65,55.17,400.0,1508.0,0.15
252.0,86.0,82.72,81.41,91.26,59.36,442.0,1510.0,0.13
269.0,86.0,82.59,81.24,89.52,73.12,376.0,1502.0,0.16
245.0,88.0,82.31,81.2,91.69,79.76,353.0,1507.0,0.16
259.0,90.0,82.63,81.43,93.21,72.2,304.0,1510.0,0.15
250.0,88.0,83.06,82.01,92.62,74.87,405.0,1495.0,0.15
242.0,87.0,83.03,81.28,93.94,86.87,455.0,1497.0,0.18
252.0,87.0,82.56,80.83,93.59,86.58,350.0,1509.0,0.14
259.0,87.0,83.19,81.43,95.22,75.78,444.0,1496.0,0.17
276.0,88.0,82.64,80.87,93.21,77.78,341.0,1488.0,0.14
258.0,84.0,82.18,80.67,90.92,60.19,425.0,1496.0,0.13
239.0,85.0,82.47,80.74,91.45,69.37,475.0,1488.0,0.19
261.0,84.0,82.71,80.99,91.79,74.73,439.0,1487.0,0.17
248.0,85.0,82.65,81.0,91.46,76.91,422.0,1493.0,0.13
276.0,87.0,82.94,81.45,92.72,89.35,335.0,1486.0,0.12
244.0,86.0,83.25,81.98,92.29,76.43,430.0,1490.0,0.19
246.0,83.0,82.19,81.18,90.54,61.17,416.0,1494.0,0.18
188.0,84.0,82.18,80.87,89.84,47.6,538.0,1488.0,0.16
158.0,84.0,82.38,81.29,90.14,91.6,357.0,1516.0,0.14
234.0,86.0,82.78,81.45,91.69,83.05,355.0,1503.0,0.23
242.0,86.0,83.04,81.73,92.82,91.17,409.0,1494.0,0.12
242.0,84.0,82.74,81.69,90.36,62.24,401.0,1491.0,0.18
235.0,84.0,82.51,81.53,91.31,69.07,418.0,1494.0,0.19
230.0,85.0,82.44,81.53,89.31,84.42,480.0,1475.0,0.16
222.0,84.0,82.5,81.39,88.78,72.36,452.0,1489.0,0.13
210.0,86.0,82.82,81.33,90.14,64.67,542.0,1496.0,0.12
245.0,84.0,82.5,81.48,91.79,78.53,358.0,1511.0,0.13
222.0,84.0,82.48,80.87,90.61,67.56,492.0,1488.0,0.14
225.0,82.0,82.37,80.95,89.11,60.5,587.0,1489.0,0.14
241.0,84.0,82.08,80.96,90.26,69.67,460.0,1493.0,0.17
190.0,83.0,82.27,80.94,88.19,83.45,531.0,1481.0,0.17
242.0,86.0,82.44,81.25,91.75,66.5,452.0,1490.0,0.14
242.0,86.0,82.52,81.47,91.24,70.48,476.0,1473.0,0.19
245.0,84.0,82.26,81.24,92.66,79.34,400.0,1499.0,0.17
271.0,85.0,82.56,80.88,93.11,91.06,391.0,1501.0,0.14
275.0,86.0,82.45,81.03,93.21,82.58,389.0,1486.0,0.18
228.0,86.0,82.8,81.62,90.38,65.97,406.0,1485.0,0.14
237.0,86.0,82.83,81.44,91.01,77.85,364.0,1503.0,0.13
262.0,85.0,82.42,81.23,91.89,73.73,367.0,1488.0,0.21
248.0,85.0,82.29,80.64,88.92,85.62,510.0,1495.0,0.2
238.0,87.0,82.33,81.43,88.7,72.51,431.0,1498.0,0.13
219.0,88.0,82.35,81.39,89.58,56.4,500.0,1482.0,0.15
228.0,88.0,82.5,81.55,88.86,60.77,463.0,1492.0,0.14
248.0,88.0,82.55,81.14,88.83,72.33,478.0,1495.0,0.12
241.0,88.0,82.72,81.5,91.14,68.44,476.0,1483.0,0.13
234.0,86.0,82.66,81.55,92.06,72.8,455.0,1492.0,0.16
226.0,87.0,82.61,81.41,90.8,75.97,433.0,1493.0,0.13
259.0,87.0,82.52,81.06,91.29,85.04,445.0,1495.0,0.14
223.0,87.0,83.08,80.6,87.81,62.36,476.0,1498.0,0.18
240.0,87.0,83.04,81.34,90.53,76.17,493.0,1496.0,0.17
236.0,87.0,82.33,80.87,86.85,85.7,492.0,1490.0,0.19
258.0,90.0,82.29,80.42,86.57,69.42,499.0,1479.0,0.16
168.0,86.0,82.57,81.14,85.32,74.28,505.0,1485.0,0.21
266.0,92.0,82.66,81.09,86.54,71.81,487.0,1500.0,0.16
272.0,86.0,82.77,81.18,87.68,73.74,438.0,1495.0,0.14
265.0,89.0,82.27,80.42,89.65,77.69,449.0,1496.0,0.16
270.0,88.0,82.12,80.19,89.57,88.58,428.0,1502.0,0.18
258.0,87.0,82.04,80.39,87.48,79.03,508.0,1491.0,0.16
245.0,85.0,81.89,79.88,84.86,69.26,635.0,1483.0,0.16
